time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Sh,P1,P2,P3,P4,S1,S2,S3,S4,Y1,Y2,Y3,Y4,R1,R2,R3,R4,M1,M2,M3,M4,L1,L2,L3,L4,N1,N2,N3,N4
7:00,4,5,0,0,1,4,0,0,0,3,5,0,0,0,0,0,1,28,5,4,0,0,19.6143939,24.56748252,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
8:00,8,1,0,0,2,3,0,0,4,9,1,0,0,0,0,0,1,12,2,3,0,0,22.54387352,46.17151158,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
9:00,11,9,0,0,0,7,0,0,6,3,7,0,0,0,0,0,1,14,1,8,0,0,10.9784303,13.77996575,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
10:00,7,7,0,0,4,4,0,0,3,13,4,0,0,0,0,0,1,9,5,2,0,0,13.27863971,17.3991305,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
11:00,11,8,0,0,2,7,0,0,0,8,7,0,0,0,0,0,1,17,4,6,0,0,11.88773861,39.17647059,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
12:00,12,16,0,0,0,3,0,0,3,5,4,0,0,0,0,0,1,26,2,9,0,0,19.78846154,14.50355147,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
13:00,6,12,0,0,0,1,0,0,1,9,3,0,0,0,0,0,1,12,0,4,0,0,0,35.93750976,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
14:00,6,4,0,0,1,5,0,0,3,14,5,0,0,0,0,0,1,15,1,5,0,0,12.565,0,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
15:00,10,16,0,0,1,5,0,0,2,7,4,0,0,0,0,0,1,12,1,1,0,0,10.29989939,21.84193548,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
16:00,7,4,0,0,2,8,0,0,1,6,11,0,0,0,0,0,1,5,1,5,0,0,13.92877447,16.7263671,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
17:00,15,14,0,0,1,18,0,0,4,20,15,0,0,0,0,0,1,14,2,8,0,0,14.05653355,16.67266282,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
18:00,7,16,0,0,1,11,0,0,1,6,10,0,0,0,0,0,1,17,2,6,0,0,9.618821155,14.10989173,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
19:00,8,11,0,0,2,4,0,0,1,4,6,0,0,0,0,0,1,23,5,17,0,0,9.586494945,15.60921927,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
20:00,9,4,0,0,2,9,0,0,3,9,11,0,0,0,0,0,1,12,2,3,0,0,27.38944437,14.64253936,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
21:00,6,8,0,0,2,15,0,0,2,4,13,0,0,0,0,0,1,14,0,2,0,0,9.140992321,15.80063766,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
22:00,6,6,0,0,0,3,0,0,2,9,5,0,0,0,0,0,1,5,0,3,0,0,23.20216216,52.26843814,0,0,0,0,0,7,7,7,7,6,6,6,6,0.788,0.343,0.555,0.604,3,2,3,2
